	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
10	2021/5/30	潮汕一厂发生火灾，疑似通道电动车起火引燃	中国	不详	电动车	1	5月24日空港渔湖镇水上乐园金来宝鞋厂起火，起火原因初步了解为通道的电动车起火引燃了周边的可燃物。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/omn/20210530/20210530A0AEIM00.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
11	2021/5/31	小区住户私拉充电线，电动车起火烧成骨架 	中国	江苏	电动车	1	5月28日，江苏南京一小区内发生一起电动自行车火灾，一辆电动车被烧成骨架。初步判断车主涉嫌私拉电线进行充电，	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.sohu.com/a/469686780_260616	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
12	2021/5/31	徐州一小区空调外机起火，业主：今年第一次开空调	中国	不详	空调	1	5月31月，徐州蟠桃花园三期，一空调外机突然起火燃烧。	消费品质量安全事件统计	家用电器及电器附件	未知	https://new.qq.com/rain/a/20210602A05I6K00	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
13	2021/6/1	手机充电器半夜爆炸 厦门一男子右眼被炸伤	中国	不详	充电器	1	厦门市民小陈在睡觉前对手机进行充电，半夜手机充电器突然爆炸，小陈的右眼被烧伤了，充电器碎片打穿了眼睑外侧。	消费品质量安全事件统计	家用电器及电器附件	未知	http://www.fj.chinanews.com/news/2021/2021-06-01/485216.html	烧伤	2	物理危害	高/低温物质危害,爆炸危害	高温物质危害,固相爆炸危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	夜间	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	有	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
14	2021/6/1	事发郴州！凌晨5点电动车疑因充电起火，烤融旁边汽车外壳	中国	不详	电动车	1	6月1日，郴州市一民房起火，起火原因疑是电动车充电不当所引发，民房内四台电动车均被烧毁，附近一辆小轿车外壳也被烤融化。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/omn/20210601/20210601A0AX2G00.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
15	2021/6/2	河南一男子裤兜里小米手机突然爆炸，医生：烧伤严重后续可能植皮	中国	河南	手机	1	5月27日，洛阳宜阳县的昝先生加完班，骑电动车回家的路上，突然感觉装在裤兜里的手机发烫，还没等掏出口袋，手机突然发生了爆炸。昝先生的大腿皮肤不仅被灼伤，一着急还从电动车上摔了下来，脸部也擦伤了。	消费品质量安全事件统计	信息技术产品	未知	https://www.163.com/dy/article/GBFQ813H05149FAT.html	擦伤,烧伤	2	物理危害	爆炸危害	固相爆炸危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	有	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
16	2021/6/2	电瓶车充电时起火爆炸 男子全身20％烧伤	中国	不详	电瓶车	1	5月24日，宁波鄞州区一处民房内，正在充电的电瓶车燃烧了起来。租户小臧准备把放在一起的其他电瓶车推走时，燃烧的电瓶车突然爆炸，小臧被烧伤。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210602A0B11J00	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
17	2021/6/3	冰箱买了的当天怎么就烧了	中国	不详	冰箱	1	近日，在台州路桥打工的李先生称，家中新买的扬子冰箱有质量问题引起火灾。	消费品质量安全事件统计	家用电器及电器附件	未知	https://www.sohu.com/a/470291468_121123843	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
18	2021/6/4	手机店电瓶车充电起火，四川自贡消防2分钟控制火情	中国	湖北	手机	1	6月3日，四川省自贡市富顺县西湖北路一手机店冒出黑烟，原因为电瓶车在充电过程中起火。	消费品质量安全事件统计	信息技术产品	未知	https://new.qq.com/rain/a/20210604A025Y000	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
19	2021/6/4	黑猫投诉：苹果手机充电起火	中国	不详	手机	1	消费者投诉苹果手机在充电时起火，客服推脱不解决。	消费品质量安全事件统计	信息技术产品	未知	https://tousu.sina.com.cn/complaint/view/17353496794/	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
20	2021/6/6	南宁一电动车突然起火，众人拿着灭火器不知所措	中国	不详	电动车	1	6月5日，在南宁民生广场交通闸附近，一名男子的电动车后座突然冒烟起火。	消费品质量安全事件统计	交通工具及相关产品	未知	https://baijiahao.baidu.com/s?id=1701792081731547112&wfr=spider&for=pc	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
21	2021/6/6	廊坊凤河公寓一居民家中电动车充电引发火灾，现场惨不忍睹！	中国	不详	电动车	1	6月4日，廊坊市广阳区凤河公寓一居民家中发生火灾，初步认定为电动自行车充电后线路故障导致火灾。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210606A08URX00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
22	2021/6/8	7辆电动车同时着火！逃生口被封住多人无法逃出	中国	江苏	电动车	1	6月3日凌晨，江苏省徐州市泉山区杏山花园10号楼1单元1层楼道门口着火，经过初步调查，疑是电线故障引发电动车起火，共有7辆电动车被烧毁。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.toutiao.com/i6971267470002897411/	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
23	2021/6/9	事发安阳，电动车电瓶室内充电起火！一家3口被困	中国	河南	电动车	1	6月4日，河南安阳一小区居民家中电动车电瓶起火，三人被困家中。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210609A00ZZO00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
